price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_living,no_of_kitchen,facing,road_size
Rs 3 crore 10 lakhs,"location: Kathmandu,Gurjudhara",3 aana 1 paisa 1 daam,"Welcome to your dream home nestled in the serene neighborhood of Simchphat, Gurjudhara, just a stone's throw away from the picturesque Namuna Park. This splendid property offers the perfect blend of modern amenities and tranquil living, making it an ideal choice for families seeking comfort and convenience.",5,4,2,2,South-west,13 Feet
Rs 95 lakhs per aana,"location: Kathmandu,Basantapur",16 aana,"Discover a prime real estate opportunity in the heart of Itumbahal, just 500 meters away from the Suzuki Showroom and a stone's throw from the iconic Basantapur. This south-facing property spans an impressive 16 aana, priced attractively at NPR 95 lakhs per aana.",2,2,1,1,SOUTH,16 feets
Rs 7 crore,"location: Kathmandu, Sitapaila",8 aana 3 paisa 3 daam,"Discover this beautiful property in Sitapaila, just 700 meters from Sitapaila Chowk and near Valley College of Technical Science. Built in 2073 BS, this 8 aana 3 paisa 3 daam land features a north-west facing home with ample parking space for 3 cars and 5 bikes.",6,4,2,2,NORTH-WEST,13 Feets
Rs 5 crore 50 lakhs,"location: Kathmandu,Budhanilkantha",6 aana,"Discover your dream home in Pasikot, Buddhanilkantha, located near Rose Villa and Rudreshwor Chowk. This east and south-facing 2.5 storey property features a 12*14 pillar size, spacious parking for 3 cars and 4 bikes, and a large 20,000-litre reserve tank. Built in 2081 B.S., this 6 aana property is accessible via a 20-foot gravel road and is close to Haribansha Studio. Enjoy modern amenities like solar power and a well, all in a semi-furnished setting.",8,5,3,2,EAST-SOUTH,20 feet
Rs 1 crore 75 lakhs,"location: Kathmandu, kalanki",2 aana 3 paisa,"Make this beautiful home yours with 2 aana 3 paisa just located at kalanki,LRI school just 400 meter away from school and property face south.",5,3,2,2,SOUTH,13 Feets
Rs 2 crore 90 lakhs,"location: Kathmandu,Kalanki",3 aana 2 paisa,"Discover your dream home near kalanki,LRI school and 300 m away from church and nearto syuchatar party chwok and makalu petrol pump from salik and land size 3 aana 2 paisa and property face east-south.",7,5,3,3,EAST-SOUTH,15 feets
Rs 2 crore 15 lakhs,"location: Kathmandu, Syuchatar",2 aana 2 paisa,Discover this beautiful house just located near Amar jyoti school and 200 meter away from amar jyoti school and made newly in 2081 B.S.It's speciality is it is a twin house.,6,6,2,2,EAST,13 Feets
Rs 2 crore 80 lakhs,"location: Kathmandu, Sitapaila",3 aana 2 paisa 3 daam,"Discover this beautiful house inside kathmandu valley just located at sitapaila.Only 700 meter away from main sitapaila chowk.Land size-3 aana 2 paisa 3 daam,property face South/west.",4,3,2,2,SOUTH-WEST,12 Feets
Rs 4 crore 25 lakhs,"location: Lalitpur,Imadole",4 aana 1 paisa,"Discover your dream home in the heart of Imadole, Sital height, just few steps away from Imadole,Lalitpur. This 3.5-storey property, built in 2081 B.S., features a spacious north/west-facing design with parking for 2 cars and 4-5 bikes. The 4 aana 1 paisa land offers ample space with a 16-foot gravel road access, sturdy 14*12 pillars, and a massive 14,000-litre reserve tank. Perfect for modern living with convenient amenities nearby.",7,6,2,2,NORTH-WEST,16 feets
Rs 4 Crore 45 Lakhs,"location: Lalitpur,Imadole",4 aana,"Title: Modern 3.5-Storey Home for Sale in Imadole, Mahalaxmi - Prime Location Near Bhatbhateni",6,6,2,2,NORTH-WEST,26 Feets
Rs 3 crore 30 crore,"location: Lalitpur,Imadol",3.75 aana,"Discover this beautiful property at Lalitpur,Imadole just 150 m away from bhatbhateni.",6,4,2,2,SOUTH,26 Feets
Rs 2 crore 95 lakhs,"location: Kathmandu, Halchowk",3 aana,"""Charming 3 Aana House for Sale in Halchowk, Near Single Tree - Peaceful Residential Haven with Parking""",6,5,2,3,WEST,13 Feets
Rs 4 crore 60 lakhs,"location: Kathmandu, Sanobharyang",4 aana,"Prime Commercial Property for Sale in Sanobharyang, Rumba Chowk - Ideal for Business Ventures",6,6,2,2,North-east,20 feets
Rs 2 crore 25 lakhs,"location: Lalitpur,hattiban",2 aana 2 paisa 3 daam,"Charming Semi-Furnished 2.5 Storey South-Facing Home in Hattiban, Lalitpur - Close to Little Angels' School",5,2,1,1,SOUTH,12 Feets
Rs 2.75 CRORE,"location: Kathmandu, Syuchatar",3 aana 1 daam,,5,3,2,2,NORTH-WEST,13
Rs 3 Crore 25 Lakh,"location: Kathmandu, Sanobharyang",4 aana,"Nestled in the tranquil and green environment of Sanobharyang, this property is ideally located just 1.5 km away from the Sano Bharyang Ring Road. The land spans 4 aana and is just a few steps away from the iconic Yellow Gumba. With a convenient 16 feet road access, this location offers both peace and accessibility, making it a perfect choice for your new home.",5,6,2,2,SOUTH-EAST,16 feets
Rs 2 CRORE 50 LAKHS,"location: Kathmandu,Raniban",3 aana,,4,4,2,2,SOUTH-EAST,13 Feet
Rs 2 crore 80 lakhs,"location: Kathmandu,Gothatar",3 aana 1 paisa,,7,5,2,2,WEST,20 feet
Rs 2 crore 80 lakhs,"location: Kathmandu, Gothatar",3 Anna 1 paisa,,5,4,2,2,WEST,20 feet
Rs 3 crore 25 lakhs,"location: Kathmandu,Koteshwor",3 aana 2 daam, ,5,5,3,3,WEST,14 Feet
"Rs NPR 45,000,000/-","location: KATHMANDU, SANOBHARYANG",4.5 Anna,"Charming Property for Sale in Sanobharyang Teengharey, Ward No. 2",4,4,1,1,South-EAST,20 feets
Rs 76000000,"location: Dholahity, Nakhipot Lane",4.5 Anna,"Cozy Bungalow is on Sale at Dholahity, Nakhipot Lane",4,4,1,1,South-EAST,20 feets
Rs 9 CRORE 50 LAKHS,"location: Kathmandu, Sitapaila",13 aana 2 paisa, ,5,3,1,1,SOUTH,20 feets
Rs 35000000,"location: Kalanki-14, Kathmandu",13 aana 2 paisa,Residential and Commerical Property,5,3,1,1,SOUTH,20 feets
Rs 3 CRORE 80 LAKHS,"location: Kathmandu, Sanobharyang",3.5 Anna,"Embrace the luxury of a well-designed, fully furnished home with modern amenities and elegant finishes. This property is a true gem in a prime location, offering ample space and comfort for your family and guests.Own this property yours,Don't miss out this opportunity.",8,4,3,3,EAST-NORTH,13 feet
Rs 5 crore 70 lakhs,"location: Lalitpur,Imadole",5 Anna,"Discover your ideal residential property located in the serene area of Sital Height, Imadole, just 150 meters from Tempo Park. This North/West-facing property boasts ample parking for 3 cars and 4-5 bikes, with a convenient 20 ft wide concrete road leading to the 5 anna land. Perfect for families, this versatile property offers multiple living spaces across four floors, each thoughtfully designed to meet your needs.",7,6,2,2,NORTH-WEST,20 feets
Rs 4 crore 95 Lakhs,"location: Lalitpur,Imadol",5 aana,"Discover your dream home in the serene neighborhood of Down Town Residency,Imadole, near to green hill city,only 100 m away from proeprty. This stunning west-facing property offers a perfect blend of comfort and style, ideal for residential  use.",6,5,2,2,WEST,20 Feet
Rs 3 CRORE 80 LAKHS,"location: Kathmandu, Ramkot",6 Anna,"Discover your dream home in the serene neighborhood of Ramkot, Towkhel, Katadevi Marg, near Civil Homes. This stunning east-facing property offers a perfect blend of comfort and style, ideal for residential and semi-commercial use.",6,7,2,2,EAST,12 Feets
Rs 75000000,"location: Bhaisepati Colony ,Bhaisepati Lalitpur",6 Anna,5 bedroon 3 bathroon house in bhaisepati colony built on 10 anna land with good road access and locality.,6,7,2,2,EAST,12 Feets
Rs 3 CRORE 80 LAKHS,"location: Kathmandu,Chandragiri",5 aana 1 paisa 3 daam,"Discover your ideal residential property in the serene neighborhood of Tinthana, Chandragiri, just 300 meters from the Ring Road. This spacious and well-maintained property is perfect for families seeking comfort and convenience.",6,5,3,2,SOUTH,12 Feets
Rs 6 CRORE,"location: Kathmandu, Raniban",8 aana,"Discover your dream home in the serene Buddhanilkantha Bagaicha Colony, just 300 meters away from the iconic Buddhanilkantha Naranthan Mandir. This spacious 8 aana property boasts a 3.5-storey structure with a north/west facing orientation. Enjoy ample parking space for 2 cars and 3-4 bikes, along with a 22 ft wide paved road for easy access. Ideal for residential use, this property features a charming garden space adorned with a beautiful Lord Buddha statue, offering a peaceful and spiritual living environment.",7,5,2,1,NORTH-WEST,22 Feets
Rs 7 Crore,"location: Kathmandu, Raniban",8 aana 2 paisa,"Discover an exquisite 2.5-storey residential property at Sunrise Height, Raniban, near Buddha Chowk, Nagarjun Nagarpalika-1. Priced at 7 crores, this south-facing home offers ample parking for 5 cars and 4-5 bikes. Built in 2079 B.S., the house boasts a large 17,000-liter reserve tank and is situated on an 8 aana 2 paisa plot with a blacktopped 13 ft road. Enjoy the luxury of a sisau wood garden space and fully furnished interiors, making it a perfect family home.",6,5,2,1,SOUTH,13 Feets
Rs 1 crore 95 lakhs,"location: Kathmandu, Satungal",4 aana,"Discover your dream home in Naikap-Basanta Tol, a prime residential area marked by the APF Barrage landmark. This newly constructed house, built in 2081 BS, sits on a 4 aana plot with a pillar size of 12/12 and features a spacious 12-foot wide concrete road for easy access.",6,3,2,2,East,12 Feets
Rs 26000000,"location: Dhobikhola, Maitidevi , Nepal",4 aana,"The house location is at Dhobikhola, Maitivei kathmandu . The house structure is of C shaped which is very unique. The neighbours are very friendly and cooperative nature.",6,3,2,2,East,12 Feets
Rs Rs 2.95 Cr,"location: Kalanki, Maitrinagar",4 Anna,"On ready to make beautiful Residential 4 Anna East Facing Brand New House is available for Sale on Hot spot of Kathmandu, Kalanki.",7,4,2,2,EAST,12 Feets
Rs 2 crore 75 lakhs,"location: Kathmandu,Ramkot",4 Anna,"Discover your dream residential property in Sitapaila, just 100 meters from Civil Home and close to the landmark Ramkot. This north-facing property features ample parking space for one car and 3-4 bikes. Built in 2080 B.S., it boasts a robust pillar size of 12*12 and a substantial land size of 4 aana. The property includes a 15,000-liter reserve tank, ensuring ample water supply. Enjoy the convenience of a 13-feet wide gravel road for easy access. Ideal for residential use, this property offers both comfort and practicality in a prime location.",7,3,3,3,NORTH,13 Feets
Rs 4 crore 15 Lakhs,"location: Lalitpur,Imadole",4 aana 1.5 daam,"Charming 3.5-Storey South-Facing Residential Property in Ochu Height, Imadole",6,5,3,2,SOUTH,13 Feets
Rs 3 crore 35 lakhs,"location: Lalitpur,Imadol",3 Anna 2 Paisa,"Beautiful 3-Storey Residential Property in Nayabasti, Madole with Swimming Pool and Ample Parking",5,6,2,2,NORTH-WEST,20 feets
Rs 3 crore 10 lakhs,"location: Lalitpur,Imadol",3 aana 1 daam,Stunning 3-Storey Residential Property in Imadol with Swimming Pool - Near KIST Medical Hospital,5,5,2,2,NORTH,13 Feet
Rs 4 crore 25 lakhs,"location: Lalitpur,Imadol",4 Anna 1 Paisa,"Luxurious Duplex Property for Sale in Imadol, Ochu Height",5,4,3,2,EAST-WEST,13 Feets
Rs 3 Crore 35 lakhs,"location: Lalitpur,Imadol",3 aana 1 paisa 2 daam,"Explore a premium residential property located in the serene neighborhood of Imadol, Ochu Height. This south-facing, fully furnished duplex is just 100 meters away from the renowned 3D Arts Museum, providing a blend of modern living and convenience. Priced at NPR 3.35 Crore, this 3-storey home offers ample space and luxurious amenities perfect for a family looking for a comfortable and stylish residence.",5,4,2,2,South,13 Feets
Rs 3 crore 55 lakhs,"location: Lalitpur,Imadol",3 aana 1 paisa 2 daam,"Beautiful 3.5 Storey Residential Property in Imadol, Sital Height – Ideal for Family Living",5,3,2,2,EAST,13 Feets
Rs 5.65 Crore,"location: Lalitpur,Imadol",5 Anna 1 paisa,"Beautiful 3.5 Storey Residential Property for Sale in Imadol, Sital Height - Ideal Family Home",7,8,2,2,SOUTH,14 Feet
Rs 2 CRORE 65 LAKHS,"location: Kathmandu, Buddhanilkantha",3 Anna,"Discover your dream home in the serene and picturesque location of Buddhanilkantha, Pasikot Ward No. 4, near Shree Ram School. This elegant 2.5-storey residential property, built in 2080, offers a blend of modern amenities and traditional charm. Priced at NPR 2.65 crore, this semi-furnished house features a north/east-facing orientation, ensuring abundant natural light and ventilation.",5,4,1,1,NORTH/EAST,13 Feets
Rs 6 CRORE 70 LAKH,"location: Kathmandu, Buddhanilkantha",5 ana 1 paisa,Ground Floor and 1st Floor:,7,5,2,3,EAST,20 Feet
Rs 3 crore 30 lakhs,"location: Satdobato,Lalitpur",3 ana,"Discover this lovely semi-furnished home, located in the serene neighborhood of Mahalaxmithan Mandir, with Nalanda School as a nearby landmark. Built in 2080 B.S., this east/south facing property sits on 3 aana of land and boasts sturdy 14*12 pillars. Ideal for families, it offers ample parking for 2 cars and 3-4 bikes, accessible via an 11 ft wide gravel road.",6,3,1,1,EAST-SOUTH,11 feets
Rs 2.15 Crore,"location: Kathmandu, Sitapaila",2 aana 3 paisa,"iscover your dream home at Sita Homes in Sitapaila, just 1 km away from Sitapaila Chowk. This elegant 2.5-storey property is built with durable 12x12 pillars and faces the east, offering abundant natural light throughout the day. Situated on a land size of 2 aana 3 paisa, the house boasts a spacious 16-foot wide concrete road for easy access. Enjoy the convenience of a dedicated parking space that accommodates 1 car and 2 bikes. Experience comfortable living in this well-designed property at Sita Homes, perfect for families seeking a peaceful and well-connected neighborhood.",5,4,1,4,EAST,16 feets
Rs 3 crore,"location: Kathmandu, Kavresthali",5 aana 2 paisa 2 daam,"Discover your dream home in Dobato, Kavresthali, just 300 meters from Green Hill Academy and Milandhamsthali. This stunning 2.5 storey, south-east facing residential property offers modern living with ample amenities. Built in 2079 B.S., the home boasts a land size of 5 aana 2 paisa 2 daam, perfect for comfortable living. Enjoy convenient parking for one car and three bikes, along with a spacious backyard and a 12,000-litre reserve tank. Accessible via a gravel road, this property is ideal for families seeking tranquility and convenience.",5,5,2,2,SOUTH-EAST,13 Feets
